Date,Series_Name,Value,Unit
2009-11-30,Import payments of Agri. & Other Chemical,482180.874,Thousand USD
2009-12-31,Import payments of Agri. & Other Chemical,482381.592,Thousand USD
2010-01-31,Import payments of Agri. & Other Chemical,396587.533,Thousand USD
2010-02-28,Import payments of Agri. & Other Chemical,377179.555,Thousand USD
2010-03-31,Import payments of Agri. & Other Chemical,437571.423,Thousand USD
2010-04-30,Import payments of Agri. & Other Chemical,440816.293,Thousand USD
2010-05-31,Import payments of Agri. & Other Chemical,411596.836,Thousand USD
2010-06-30,Import payments of Agri. & Other Chemical,455734.63,Thousand USD
2010-07-31,Import payments of Agri. & Other Chemical,467499.815,Thousand USD
2010-08-31,Import payments of Agri. & Other Chemical,482056.514,Thousand USD
2010-09-30,Import payments of Agri. & Other Chemical,419345.396,Thousand USD
2010-10-31,Import payments of Agri. & Other Chemical,387453.744,Thousand USD
2010-11-30,Import payments of Agri. & Other Chemical,426933.564,Thousand USD
2010-12-31,Import payments of Agri. & Other Chemical,448699.816,Thousand USD
2011-01-31,Import payments of Agri. & Other Chemical,456698.661,Thousand USD
2011-02-28,Import payments of Agri. & Other Chemical,427615.753,Thousand USD
2011-03-31,Import payments of Agri. & Other Chemical,552930.833,Thousand USD
2011-04-30,Import payments of Agri. & Other Chemical,475300.416,Thousand USD
2011-05-31,Import payments of Agri. & Other Chemical,553517.587,Thousand USD
2011-06-30,Import payments of Agri. & Other Chemical,553870.145,Thousand USD
2011-07-31,Import payments of Agri. & Other Chemical,577175.156,Thousand USD
2011-08-31,Import payments of Agri. & Other Chemical,485557.41,Thousand USD
2011-09-30,Import payments of Agri. & Other Chemical,562763.311,Thousand USD
2011-10-31,Import payments of Agri. & Other Chemical,684267.655,Thousand USD
2011-11-30,Import payments of Agri. & Other Chemical,470094.804,Thousand USD
2011-12-31,Import payments of Agri. & Other Chemical,794764.955,Thousand USD
2012-01-31,Import payments of Agri. & Other Chemical,634560.857,Thousand USD
2012-02-29,Import payments of Agri. & Other Chemical,462900.001,Thousand USD
2012-03-31,Import payments of Agri. & Other Chemical,530417.23,Thousand USD
2012-04-30,Import payments of Agri. & Other Chemical,498249.897,Thousand USD
2012-05-31,Import payments of Agri. & Other Chemical,511289.921,Thousand USD
2012-06-30,Import payments of Agri. & Other Chemical,527696.59,Thousand USD
2012-07-31,Import payments of Agri. & Other Chemical,572365.621,Thousand USD
2012-08-31,Import payments of Agri. & Other Chemical,544302.29,Thousand USD
2012-09-30,Import payments of Agri. & Other Chemical,531498.928,Thousand USD
2012-10-31,Import payments of Agri. & Other Chemical,585055.019,Thousand USD
2012-11-30,Import payments of Agri. & Other Chemical,513222.923,Thousand USD
2012-12-31,Import payments of Agri. & Other Chemical,529916.825,Thousand USD
2013-01-31,Import payments of Agri. & Other Chemical,513897.945,Thousand USD
2013-02-28,Import payments of Agri. & Other Chemical,445825.846,Thousand USD
2013-03-31,Import payments of Agri. & Other Chemical,483932.982,Thousand USD
2013-04-30,Import payments of Agri. & Other Chemical,549671.039,Thousand USD
2013-05-31,Import payments of Agri. & Other Chemical,462225.386,Thousand USD
2013-06-30,Import payments of Agri. & Other Chemical,590822.045,Thousand USD
2013-07-31,Import payments of Agri. & Other Chemical,558878.466,Thousand USD
2013-08-31,Import payments of Agri. & Other Chemical,506833.019,Thousand USD
2013-09-30,Import payments of Agri. & Other Chemical,603635.649,Thousand USD
2013-10-31,Import payments of Agri. & Other Chemical,692743.062,Thousand USD
2013-11-30,Import payments of Agri. & Other Chemical,524673.479,Thousand USD
2013-12-31,Import payments of Agri. & Other Chemical,569743.312,Thousand USD
2014-01-31,Import payments of Agri. & Other Chemical,654385.002,Thousand USD
2014-02-28,Import payments of Agri. & Other Chemical,510946.675,Thousand USD
2014-03-31,Import payments of Agri. & Other Chemical,558581.532,Thousand USD
2014-04-30,Import payments of Agri. & Other Chemical,597936.284,Thousand USD
2014-05-31,Import payments of Agri. & Other Chemical,540784.83,Thousand USD
2014-06-30,Import payments of Agri. & Other Chemical,543135.206,Thousand USD
2014-07-31,Import payments of Agri. & Other Chemical,527865.181,Thousand USD
2014-08-31,Import payments of Agri. & Other Chemical,604222.178,Thousand USD
2014-09-30,Import payments of Agri. & Other Chemical,579829.021,Thousand USD
2014-10-31,Import payments of Agri. & Other Chemical,628009.556,Thousand USD
2014-11-30,Import payments of Agri. & Other Chemical,539122.864,Thousand USD
2014-12-31,Import payments of Agri. & Other Chemical,578707.181,Thousand USD
2015-01-31,Import payments of Agri. & Other Chemical,496142.966,Thousand USD
2015-02-28,Import payments of Agri. & Other Chemical,535902.18,Thousand USD
2015-03-31,Import payments of Agri. & Other Chemical,566065.452,Thousand USD
2015-04-30,Import payments of Agri. & Other Chemical,542666.149,Thousand USD
2015-05-31,Import payments of Agri. & Other Chemical,500861.083,Thousand USD
2015-06-30,Import payments of Agri. & Other Chemical,599312.616,Thousand USD
2015-07-31,Import payments of Agri. & Other Chemical,608863.405,Thousand USD
2015-08-31,Import payments of Agri. & Other Chemical,591531.05,Thousand USD
2015-09-30,Import payments of Agri. & Other Chemical,567144.023,Thousand USD
2015-10-31,Import payments of Agri. & Other Chemical,600207.358,Thousand USD
2015-11-30,Import payments of Agri. & Other Chemical,548175.922,Thousand USD
2015-12-31,Import payments of Agri. & Other Chemical,559138.957,Thousand USD
2016-01-31,Import payments of Agri. & Other Chemical,572528.431,Thousand USD
2016-02-29,Import payments of Agri. & Other Chemical,482962.836,Thousand USD
2016-03-31,Import payments of Agri. & Other Chemical,485979.064,Thousand USD
2016-04-30,Import payments of Agri. & Other Chemical,526305.84,Thousand USD
2016-05-31,Import payments of Agri. & Other Chemical,574679.389,Thousand USD
2016-06-30,Import payments of Agri. & Other Chemical,597443.911,Thousand USD
2016-07-31,Import payments of Agri. & Other Chemical,591829.05,Thousand USD
2016-08-31,Import payments of Agri. & Other Chemical,604244.578,Thousand USD
2016-09-30,Import payments of Agri. & Other Chemical,481665.224,Thousand USD
2016-10-31,Import payments of Agri. & Other Chemical,571041.095,Thousand USD
2016-11-30,Import payments of Agri. & Other Chemical,601553.327,Thousand USD
2016-12-31,Import payments of Agri. & Other Chemical,529592.399,Thousand USD
2017-01-31,Import payments of Agri. & Other Chemical,617951.362,Thousand USD
2017-02-28,Import payments of Agri. & Other Chemical,568557.331,Thousand USD
2017-03-31,Import payments of Agri. & Other Chemical,610952.013,Thousand USD
2017-04-30,Import payments of Agri. & Other Chemical,603463.788,Thousand USD
2017-05-31,Import payments of Agri. & Other Chemical,684530.687,Thousand USD
2017-06-30,Import payments of Agri. & Other Chemical,657457.09,Thousand USD
2017-07-31,Import payments of Agri. & Other Chemical,712631.256,Thousand USD
2017-08-31,Import payments of Agri. & Other Chemical,661652.859,Thousand USD
2017-09-30,Import payments of Agri. & Other Chemical,580371.556,Thousand USD
2017-10-31,Import payments of Agri. & Other Chemical,692916.315,Thousand USD
