"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2011","83187.84154","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2011","-50912.15846","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2011","134760","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2011","4800","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2011","261600","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2011","-46800","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","28-Feb-2011","296900","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2011","176170","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2010","119600","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2010","148120","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2010","158590","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2010","137964","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2010","56464","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2010","10694","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2010","34400","Thousand USD","Normal",""
