IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100000_N
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,768,COUNTRY,PUBLISHED,Road traffic deaths,Togo,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,776,COUNTRY,PUBLISHED,Road traffic deaths,Tonga,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,780,COUNTRY,PUBLISHED,Road traffic deaths,Trinidad and Tobago,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,784,COUNTRY,PUBLISHED,Road traffic deaths,United Arab Emirates,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,788,COUNTRY,PUBLISHED,Road traffic deaths,Tunisia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,792,COUNTRY,PUBLISHED,Road traffic deaths,Türkiye,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,795,COUNTRY,PUBLISHED,Road traffic deaths,Turkmenistan,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,798,COUNTRY,PUBLISHED,Road traffic deaths,Tuvalu,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,800,COUNTRY,PUBLISHED,Road traffic deaths,Uganda,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,804,COUNTRY,PUBLISHED,Road traffic deaths,Ukraine,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,807,COUNTRY,PUBLISHED,Road traffic deaths,North Macedonia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,818,COUNTRY,PUBLISHED,Road traffic deaths,Egypt,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,826,COUNTRY,PUBLISHED,Road traffic deaths,United Kingdom of Great Britain and Northern Ireland,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,834,COUNTRY,PUBLISHED,Road traffic deaths,United Republic of Tanzania,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,840,COUNTRY,PUBLISHED,Road traffic deaths,United States of America,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,854,COUNTRY,PUBLISHED,Road traffic deaths,Burkina Faso,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,858,COUNTRY,PUBLISHED,Road traffic deaths,Uruguay,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,860,COUNTRY,PUBLISHED,Road traffic deaths,Uzbekistan,
